t_ms,label,f1,f2,f3,f4,f5,ax,ay,az,gx,gy,gz
2272,0,1229,1901,861,0,3,6.51,-4.07,1.29,-1.50,-1.32,1.05
2292,0,1227,1799,850,0,0,4.30,-3.50,2.11,-1.44,-1.12,1.33
2312,0,1227,1524,845,1,0,4.95,-4.58,1.52,-1.13,-0.61,1.00
2332,0,1231,1388,847,0,3,4.54,-5.74,0.67,-1.53,-0.12,0.71
2352,0,1230,1330,762,3,2,4.09,-5.89,0.80,-1.16,-0.43,0.53
2372,0,1227,1037,663,0,0,5.60,-5.86,1.86,-0.62,-0.19,0.52
2392,0,1229,1225,655,1,0,5.63,-5.78,2.60,-0.81,-0.08,0.30
2412,0,1222,1068,17,0,0,6.00,-6.67,1.95,-0.97,0.24,0.10
2432,0,1232,1200,18,1,0,5.40,-6.97,2.54,-1.04,0.23,0.07
2452,0,1230,1279,13,3,0,5.60,-6.59,2.41,-0.66,0.07,-0.03
2472,0,1232,1164,16,1,0,5.76,-5.98,2.61,-0.24,-0.05,-0.17
2492,0,1228,1092,0,0,2,5.71,-5.62,2.34,0.16,-0.34,-0.39
2512,0,1234,1110,0,3,3,5.83,-5.49,2.14,0.68,-0.53,-0.54
2532,0,1231,932,1,1,0,5.34,-5.75,1.77,1.05,-0.53,-0.63
2552,0,1226,1002,0,0,0,4.47,-6.05,1.03,0.91,-0.41,-0.90
2572,0,1229,1101,0,0,0,2.68,-6.72,0.63,0.65,0.05,-1.19
2592,0,1228,924,1,0,1,2.43,-6.99,-1.16,0.44,0.55,-1.63
2612,0,1226,1014,0,3,1,1.51,-7.35,-2.27,0.36,1.00,-2.26
2632,0,1205,1471,6,22,4,1.15,-6.90,-2.77,0.72,1.51,-2.80
2652,0,1160,1491,569,0,0,0.19,-6.35,-3.08,1.13,2.06,-3.28
2672,0,853,1648,587,1,0,-1.06,-5.71,-2.90,1.31,2.54,-3.73
2692,0,925,1689,622,0,0,-1.75,-4.68,-2.69,1.44,2.83,-4.31
2712,0,1124,1681,701,406,0,-2.08,-2.65,-1.68,1.90,3.24,-4.37
2732,0,1158,1794,842,1471,0,-2.81,-0.27,-0.66,2.89,3.91,-4.37
2752,0,891,1774,1078,2238,0,-3.35,2.40,2.41,3.92,3.72,-4.37
2772,0,632,1883,1586,2552,0,-3.23,6.01,4.39,4.21,3.90,-4.37
2792,0,859,1910,1332,2715,4,-4.71,10.52,9.31,3.50,2.66,-4.37
2812,0,1358,1878,1623,2787,3,-0.50,15.78,9.50,4.37,1.58,-4.37
2832,0,1458,1899,1751,2789,2,-1.67,27.06,23.67,4.37,-0.01,-2.88
2852,0,1465,1922,1917,2798,54,5.90,29.31,19.55,2.82,-0.29,-4.12
2872,0,1371,1926,1751,2769,33,8.48,24.66,15.25,0.69,0.57,-2.92
2892,0,1363,1836,1317,2636,61,9.63,21.55,15.33,0.24,0.29,-1.85
3896,0,2290,3197,2844,2787,3000,0.54,16.98,7.45,1.21,-0.06,-1.57
3916,0,2277,3198,2893,2774,3005,1.54,19.43,7.84,1.01,0.25,-2.19
3936,0,2291,3202,2889,2773,3004,2.65,18.72,6.73,0.41,0.32,-1.82
3956,0,2285,3196,2867,2781,3010,3.98,19.75,7.06,0.74,-0.00,-0.61
3976,0,2286,3196,2837,2788,3007,5.09,17.59,4.85,-0.29,0.14,0.09
3996,0,2272,3197,2918,2775,3005,3.52,15.56,5.63,-1.07,0.30,0.36
4016,0,2268,3199,2894,2767,3001,2.87,12.70,4.97,-0.94,0.48,0.23
